     0    0 0 0
     1    0 0 0
     2    0.12116E+04    0.52828E-01    0.34426E+01
     3    0.11293E+04    0.86623E-01    0.43413E+01
     4    0.10529E+04    0.97682E-01    0.44720E+01
     5    0.99394E+03    0.86911E-01    0.41450E+01
     6    0.95095E+03    0.64335E-01    0.36182E+01
     7    0.92112E+03    0.40905E-01    0.30324E+01
     8    0.90100E+03    0.23438E-01    0.24615E+01
     9    0.88829E+03    0.13540E-01    0.19691E+01
    10    0.88144E+03    0.93527E-02    0.15900E+01
    11    0.87907E+03    0.79278E-02    0.13321E+01
    12    0.87997E+03    0.74861E-02    0.11831E+01
    13    0.88311E+03    0.68835E-02    0.11252E+01
    14    0.88824E+03    0.61314E-02    0.11327E+01
    15    0.89529E+03    0.55301E-02    0.11782E+01
    16    0.90413E+03    0.53171E-02    0.12383E+01
    17    0.91452E+03    0.54774E-02    0.13057E+01
    18    0.92617E+03    0.59330E-02    0.13772E+01
    19    0.93877E+03    0.66061E-02    0.14496E+01
    20    0.95205E+03    0.74186E-02    0.15196E+01
    21    0.96576E+03    0.83086E-02    0.15844E+01
    22    0.97984E+03    0.92786E-02    0.16437E+01
    23    0.99429E+03    0.10347E-01    0.16975E+01
    24    0.10091E+04    0.11533E-01    0.17458E+01
    25    0.10242E+04    0.12854E-01    0.17888E+01
    26    0.10397E+04    0.14329E-01    0.18265E+01
    27    0.10555E+04    0.15977E-01    0.18589E+01
    28    0.10716E+04    0.17817E-01    0.18861E+01
    29    0.10881E+04    0.19866E-01    0.19083E+01
    30    0.11048E+04    0.22143E-01    0.19254E+01
    31    0.11218E+04    0.24664E-01    0.19375E+01
    32    0.11391E+04    0.27433E-01    0.19441E+01
    33    0.11567E+04    0.30451E-01    0.19446E+01
    34    0.11745E+04    0.33719E-01    0.19385E+01
    35    0.11926E+04    0.37238E-01    0.19254E+01
    36    0.12109E+04    0.41009E-01    0.19046E+01
    37    0.12295E+04    0.45032E-01    0.18756E+01
    38    0.12482E+04    0.49310E-01    0.18379E+01
    39    0.12672E+04    0.53842E-01    0.17910E+01
    40    0.12864E+04    0.58630E-01    0.17342E+01
    41    0.13058E+04    0.63676E-01    0.16671E+01
    42    0.13253E+04    0.68982E-01    0.15892E+01
    43    0.13450E+04    0.74553E-01    0.15000E+01
    44    0.13650E+04    0.80392E-01    0.13988E+01
    45    0.13851E+04    0.86502E-01    0.12854E+01
    46    0.14054E+04    0.92889E-01    0.11591E+01
    47    0.14260E+04    0.99554E-01    0.10194E+01
    48    0.14467E+04    0.10650E+00    0.86582E+00
    49    0.14676E+04    0.11374E+00    0.69788E+00
    50    0.14888E+04    0.12126E+00    0.51505E+00
    51    0.15101E+04    0.12908E+00    0.31696E+00
    52    0.15317E+04    0.13720E+00    0.10372E+00
    53    0.15534E+04    0.14560E+00   -0.12443E+00
    54    0.15754E+04    0.15430E+00   -0.36725E+00
    55    0.15976E+04    0.16329E+00   -0.62448E+00
    56    0.16200E+04    0.17258E+00   -0.89591E+00
    57    0.16426E+04    0.18215E+00   -0.11813E+01
    58    0.16654E+04    0.19202E+00   -0.14803E+01
    59    0.16884E+04    0.20218E+00   -0.17928E+01
    60    0.17117E+04    0.21263E+00   -0.21186E+01
    61    0.17351E+04    0.22336E+00   -0.24573E+01
    62    0.17588E+04    0.23439E+00   -0.28090E+01
    63    0.17827E+04    0.24570E+00   -0.31737E+01
    64    0.18069E+04    0.25729E+00   -0.35513E+01
    65    0.18312E+04    0.26916E+00   -0.39419E+01
    66    0.18558E+04    0.28131E+00   -0.43454E+01
    67    0.18807E+04    0.29374E+00   -0.47619E+01
    68    0.19057E+04    0.30643E+00   -0.51912E+01
    69    0.19310E+04    0.31940E+00   -0.56335E+01
    70    0.19566E+04    0.33263E+00   -0.60887E+01
    71    0.19824E+04    0.34613E+00   -0.65567E+01
    72    0.20085E+04    0.35988E+00   -0.70375E+01
    73    0.20348E+04    0.37387E+00   -0.75308E+01
    74    0.20614E+04    0.38809E+00   -0.80363E+01
    75    0.20882E+04    0.40253E+00   -0.85540E+01
